place_id;oblast_id;name;oblast;place_city_name;place_oblast_name;lang;country
1487022;1511732;Власиха;Алтайский край;Vlasikha;Altayskiy Kray;ru;RU
1488207;1511732;Усть-Иша;Алтайский край;Ust'-Isha;Altayskiy Kray;ru;RU
1490913;1511732;Старый Тогул;Алтайский край;Staryy Togul;Altayskiy Kray;ru;RU
1491428;1511732;Солтон;Алтайский край;Solton;Altayskiy Kray;ru;RU
1491706;1511732;Славгород;Алтайский край;Slavgorod;Altayskiy Kray;ru;RU
1492009;1511732;Шульгин-Лог;Алтайский край;Shul'gin Log;Altayskiy Kray;ru;RU
1503153;1511732;Ключи;Алтайский край;Klyuchi;Altayskiy Kray;ru;RU
1506260;1511732;Горняк;Алтайский край;Gornyak;Altayskiy Kray;ru;RU
1492491;1511732;Шахи;Алтайский край;Shakhi;Altayskiy Kray;ru;RU
1501894;1511732;Красный Яр;Алтайский край;Krasnyy Yar;Altayskiy Kray;ru;RU
1506131;1511732;Гришковка;Алтайский край;Grishkovka;Altayskiy Kray;ru;RU
1510709;1511732;Баево;Алтайский край;Bayevo;Altayskiy Kray;ru;RU
1486340;1511732;Яровое;Алтайский край;Yarovoye;Altayskiy Kray;ru;RU
1486983;1511732;Волчиха;Алтайский край;Volchikha;Altayskiy Kray;ru;RU
1500614;1511732;Лесное;Алтайский край;Lesnoye;Altayskiy Kray;ru;RU
1504985;1511732;Калманка;Алтайский край;Kalmanka;Altayskiy Kray;ru;RU
1510283;1511732;Берёзовка;Алтайский край;Berezovka;Altayskiy Kray;ru;RU
1488235;1511732;Усть-Чарышская Пристань;Алтайский край;Ust'-Charyshskaya Pristan';Altayskiy Kray;ru;RU
1491006;1511732;Староалейское;Алтайский край;Staroaleyskoye;Altayskiy Kray;ru;RU
1495101;1511732;Петропавловское;Алтайский край;Petropavlovskoye;Altayskiy Kray;ru;RU
1510502;1511732;Белокуриха;Алтайский край;Belokurikha;Altayskiy Kray;ru;RU
7458389;1511732;Кусак;Алтайский край;Kusak;Altayskiy Kray;ru;RU
1485397;1511732;Затон;Алтайский край;Zaton;Altayskiy Kray;ru;RU
1488632;1511732;Угловское;Алтайский край;Uglovskoye;Altayskiy Kray;ru;RU
1493577;1511732;Романово;Алтайский край;Romanovo;Altayskiy Kray;ru;RU
1508918;1511732;Боровиха;Алтайский край;Borovikha;Altayskiy Kray;ru;RU
1510665;1511732;Баюновские Ключи;Алтайский край;Bayunovskiye Klyuchi;Altayskiy Kray;ru;RU
1491535;1511732;Соколово;Алтайский край;Sokolovo;Altayskiy Kray;ru;RU
1495260;1511732;Первомайский;Алтайский край;Pervomayskiy;Altayskiy Kray;ru;RU
1495448;1511732;Павловск;Алтайский край;Pavlovsk;Altayskiy Kray;ru;RU
1495613;1511732;Панкрушиха;Алтайский край;Pankrushikha;Altayskiy Kray;ru;RU
